---
African Rap
go hard, mo'gunz
a greater story, da t.r.u.t.h tyra scott
only human, lecrae
let me know, andy mineo
otherside, hulvey
masterpiece, kb
self discovery, lecrae
without you, social club misfits
suddenly beautiful, dillon chase
heaven up above, hulvey
vessel for the lord, mouthpi3ce
in america, mouthpi3ce
we let the credits roll, propaganda
we are all we got, propaganda
we are the culture, propaganda
small town, taelor gray
shame, andy mineo
ghost dad, swoope
all is true, steven malcolm
mirror mirror, swoope
new day, swoope
everyday, lecrae limoblaze jidenna
dedicated, mouthpi3ce
body and soul, mouthpi3ce
boomerang, mouthpi3ce
all she wrote, justin bieber
nights in atlanta, da t.r.u.t.h
set the bar, da t.r.u.t.h
in the dark, da t.r.u.t.h
legacy, lecrae
can you hear me, lecrae
the potrait, da t.r.u.t.h
solomon's porch, taelor gray
up, aaron cole
---
Drake
money in the grave, drake
you're mine still, yung bieu drake
currents, drake
a keeper, drake
sticky, drake
churchill downs, jack harlow drake
lord knows, drake
the remorse, drake
imy2, drake
you only live twice, drake
fountains, drake
7am on bridle path, drake
yebba's heartbreak, drake
no friends in the industry, drake
fair trade, drake
love all, drake
girls want girls, drake
papi's home, drake
champagne poetry, drake
no pressure, drake rema
tuscan leather, drake
free smoke, drake
energy, drake
no long talk, drake giggs
come closer, drake wizkid
peak, drake
what's my name, rihanna drake
10 bands, drake
started from the bottom, drake
nice for what, drake
know yourself, drake
over, drake
crew love, drake
hype, drake
no tellin', drake
worst behaviour, drake
r.i.c.o, meek mill drake
6 god, drake
off that, jay z drake
shut it down, drake the dream
gyalchester, drake
unforgettable, drake young jeezy
light up, drake jay z
best i ever had, drake
emotionless, drake
look alive, blocboy drake
miss me, drake lil wayne
god's plan, drake
used to, drake lil wayne
i'm upset, drake
6 man, drake
now & forever, drake
company, drake travis scott
kmt, drake giggs
hyfr, drake lil wayne
talk up, drake jay z
back to back, drake
fall for your type, jamie foxx drake
from time, drake jhene aiko
all me, drake 2 chainz big sean
forever, drake kanye west lil wayne eminem
views, drake
hold on we're going home, drake
landed, drake
truffle butter, nicki minaj drake lil wayne
going bad, meek mill drake
no guidance, chris brown drake
big mood, drake future
5am in toronto, drake
i get lonely, drake
behing barz, drake
blessings remix, drake kanye west
when to say when, drake
toosie slide, drake
poetic justice, kendrick lamar drake
duppy freestyle, drake
in the cut, drake roddy ricch
one dance, drake wizkid
only you freestyle, drake headie one
outta time, bryson tiller drake
zodiac signs, drake jesie reyez
8 out of 10, drake
b.b king freestyle, lil wayne drake
wants and needs, drake lil baby
lemon pepper freestyle, drake
what's next, drake
pound cake, drake
doing it wrong, drake
own it, drake
hotline bling, drake
stay scheming, drake rick ross
wu-tang forever, drake
having our way, migos drake
weston road flows, drake
over the top, drake
keep the family close, drake
find your love, drake
in the morning, j. cole drake
she will, lil wayne drake

---
EDM
forever, gryffin elley duhe
atlantis, seafret seeb
blame, calvin harris
from the ashes, illenium skylar grey
undeniable, kygo
somebody to use, alesso
faded, sigma lowes
alond pt ii, alan walker ava max
heading home, alan walker ruben
not you, alan walker
the motto, tiesto ava max
me myself & adderal, lost kings
sleepless nights, ayokay nightly
lose my number, nightly
won't let you go, martin garrix john martin
